meeting_name,date_time,location,url
Public Engagement Plan Meeting (Framingham) - CANCELED,"March 10, 2020, 6:00 PM","Framingham Public Library, Costin Room, Framingham, MA",www.mbta.com/events/2020-03-10/public-engagement-plan-meeting-framingham-canceled
Finance and Audit Committee Meeting,"March 18, 2020, 9:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-03-18/finance-and-audit-committee-meeting
Senior CharlieCard Event - CANCELED,"March 19, 2020, 1:00 PM","Acton Council on Aging, Acton, MA",www.mbta.com/events/2020-03-19/senior-charliecard-event-canceled
Advisory Meeting | Riders' Transportation Access Group Meeting - CANCELED,"March 19, 2020, 2:00 PM","State Transportation Building, 2nd Floor, Board Room, Boston, MA",www.mbta.com/events/2020-03-19/advisory-meeting-riders-transportation-access-group-meeting-canceled
Capital Programs Committee Meeting,"March 23, 2020, 10:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-03-23/capital-programs-committee-meeting
Joint Meeting of the MassDOT Board and Fiscal and Management Control Board,"March 23, 2020, 11:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-03-23/joint-meeting-the-massdot-board-and-fiscal-and-management-control-board
Worcester Union Station Improvements Public Meeting - CANCELED,"March 26, 2020, 6:00 PM","Worcester Union Station, 2nd Floor, Public Meeting Room, Worcester, MA",www.mbta.com/events/2020-03-26/worcester-union-station-improvements-public-meeting-canceled
Finance and Audit Committee Meeting,"April 8, 2020, 9:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-04-08/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"April 13, 2020, 10:30 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-04-13/capital-programs-committee-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"April 13, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-04-13/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Fiscal and Management Control Board Meeting,"April 27, 2020, 12:00 PM","State Transportation Building, Boston, MA",www.mbta.com/events/2020-04-27/fiscal-and-management-control-board-meeting
Fiscal and Management Control Board Meeting,"May 4, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-05-04/fiscal-and-management-control-board-meeting
